x, y
-9.678488731384277, -24.76169776916504
-10.614960670471191, -11.657907485961914
-6.993887901306152, -25.26826286315918
-9.5703706741333, -21.927459716796875
-14.200257301330566, -35.00048065185547
-28.68521499633789, -44.29649353027344
-14.573333740234375, -29.0247859954834
-14.302867889404297, -30.250579833984375
-6.940718650817871, -16.012243270874023
-14.527667999267578, -35.6134033203125
-8.561957359313965, -25.850061416625977
-7.144893646240234, -24.896764755249023
-20.760568618774414, -32.55431365966797
-13.054346084594727, -33.23359680175781
-7.949053764343262, -28.817445755004883
-7.565380096435547, -28.58437728881836
-5.870391845703125, -22.12166404724121
-9.995319366455078, -29.528024673461914
-7.113061428070068, -6.052020072937012
-6.174190521240234, -20.699251174926758
-29.16315460205078, -43.0034065246582
-15.077827453613281, -31.075302124023438
-11.819854736328125, -28.159423828125
-13.720002174377441, -31.806034088134766
-11.064414978027344, -29.276599884033203
-8.909111976623535, -16.182329177856445
-2.900796890258789, -16.537212371826172
-8.327587127685547, -20.96192169189453
-24.545490264892578, -43.62309265136719
-13.93310260772705, -32.1176872253418
-14.483570098876953, -26.912540435791016
-24.300281524658203, -29.421630859375
-11.238044738769531, -26.02897071838379
-5.522039413452148, -23.39897918701172
-8.050239562988281, -22.128507614135742
-11.192407608032227, -34.442630767822266
-8.21336555480957, -24.6362247467041
-11.101194381713867, -21.604230880737305
-8.530776977539062, -9.111288070678711
-14.634724617004395, -32.05836486816406
-6.578442096710205, -24.48630142211914
-15.325824737548828, -29.989381790161133
-8.615896224975586, -23.771047592163086
-14.908717155456543, -35.30774688720703
-8.959829330444336, -20.87445640563965
-17.69563865661621, -31.23682975769043
-9.78708267211914, -22.336008071899414
-14.715055465698242, -35.7922248840332
-5.896344184875488, -23.8590145111084
-8.472820281982422, -24.79187774658203
-17.903722763061523, -48.49235534667969
-14.42966079711914, -32.80787658691406
-22.773418426513672, -23.806598663330078
-8.318869590759277, -26.000974655151367
-11.143268585205078, -9.174321174621582
-14.259922981262207, -35.48345184326172
-19.787574768066406, -33.50128936767578
-12.402788162231445, -11.988231658935547
-10.214407920837402, -17.22031021118164
-9.052349090576172, -27.973888397216797
-6.971094608306885, -24.97021484375
-13.319596290588379, -27.301267623901367
-14.640083312988281, -27.349369049072266
-7.953935623168945, -28.879287719726562
-11.779097557067871, -28.814334869384766
-10.604538917541504, -22.22650146484375
-7.922861099243164, -28.802589416503906
-17.99009132385254, -41.90568923950195
-12.147773742675781, -29.414886474609375
-7.656181335449219, -28.961669921875
-11.456661224365234, -30.510910034179688
-11.555756568908691, -29.959190368652344
-19.86868667602539, -31.711782455444336
-26.11534881591797, -41.77639389038086
-3.344895124435425, -18.661754608154297
-14.480863571166992, -30.337173461914062
-16.36412239074707, -28.58629608154297
-20.897228240966797, -35.726715087890625
-4.885303974151611, -11.897294044494629
-9.621267318725586, -9.363945007324219
-10.916417121887207, -21.237913131713867
-11.547561645507812, -29.798330307006836
-29.388355255126953, -46.907684326171875
-7.025022506713867, -25.013988494873047
-12.678261756896973, -28.92662811279297
-11.016501426696777, -31.890918731689453
-8.048574447631836, -29.31498908996582
-11.000096321105957, -11.114673614501953
-11.410478591918945, -32.291446685791016
-11.682438850402832, -21.25420570373535
-12.96214771270752, -27.07282066345215
-8.63658618927002, -25.018394470214844
-9.64937973022461, -16.228410720825195
-10.148856163024902, -34.73748779296875
-9.37191104888916, -22.185001373291016
-10.925199508666992, -28.927715301513672
-10.798160552978516, -24.26983642578125
-4.016485214233398, -18.000734329223633
-9.911151885986328, -27.556360244750977
-26.135597229003906, -37.504791259765625
-11.438531875610352, -31.105140686035156
-14.143709182739258, -30.481359481811523
-13.959906578063965, -32.026390075683594
-7.78693962097168, -23.410907745361328
-10.400405883789062, -27.10453987121582
-6.410646438598633, -32.341922760009766
-9.551397323608398, -35.532684326171875
-9.089137077331543, -28.538951873779297
-7.387402534484863, -27.578264236450195
-5.580118656158447, -23.322023391723633
-9.576486587524414, -22.01983070373535
-4.071144104003906, -17.990314483642578
-8.106124877929688, -16.67339324951172
-6.289912223815918, -15.434749603271484
-14.282197952270508, -28.79176139831543
-7.041083335876465, -25.18852996826172
-15.292705535888672, -18.065689086914062
-18.814220428466797, -32.48633575439453
-9.930242538452148, -27.951154708862305
-5.587168216705322, -5.288556098937988
-11.417367935180664, -25.927093505859375
-29.18697738647461, -42.4129638671875
-10.99343490600586, -25.178964614868164
-10.624732971191406, -21.51787567138672
-5.437814235687256, -5.435094356536865
-8.443917274475098, -23.716089248657227
-12.657524108886719, -27.65838050842285
-14.08652114868164, -30.266254425048828
-14.533489227294922, -30.280981063842773
-5.726855278015137, -18.480575561523438
-9.660432815551758, -30.76122283935547
-14.917430877685547, -25.82564926147461
-7.7198405265808105, -28.8304386138916
-7.892098426818848, -29.402496337890625
-11.006954193115234, -16.28489112854004
-14.792333602905273, -35.50946044921875
-7.012857437133789, -25.14398193359375
-16.22958755493164, -11.360553741455078
-3.8704257011413574, -18.07360076904297
-13.720107078552246, -18.213390350341797
-22.21966552734375, -39.72945022583008
-18.363182067871094, -26.307140350341797
-10.57611083984375, -10.39655590057373
-11.199661254882812, -9.076449394226074
-11.586109161376953, -24.63555335998535
-5.099844455718994, -28.059505462646484
-6.957405090332031, -25.350204467773438
-7.703178405761719, -28.35737419128418
-8.585238456726074, -23.608760833740234
-10.296521186828613, -29.479419708251953
-6.433587074279785, -25.761398315429688
-21.72378158569336, -45.32329177856445
-10.832258224487305, -29.75672721862793
-7.569258689880371, -28.613788604736328
-9.595552444458008, -29.719343185424805
-9.82250690460205, -14.519270896911621
-5.458889484405518, -16.35858154296875
-7.028711795806885, -25.03468894958496
-6.295313835144043, -23.482511520385742
-11.656533241271973, -26.386978149414062
-14.997665405273438, -32.09519958496094
-10.687419891357422, -23.08633804321289
-26.213184356689453, -33.69178771972656
-8.264912605285645, -22.110313415527344
-24.589115142822266, -39.83136749267578
-12.447358131408691, -28.354991912841797
-9.667206764221191, -21.448543548583984
-10.044418334960938, -27.899980545043945
-14.189669609069824, -25.797237396240234
-8.369450569152832, -20.009807586669922
-17.081501007080078, -28.81090545654297
-14.280712127685547, -48.273834228515625
-11.019948959350586, -8.799921035766602
-29.30380630493164, -43.634395599365234
-9.642125129699707, -25.557619094848633
-8.61972713470459, -28.281431198120117
-7.57720947265625, -24.0029354095459
-14.072202682495117, -34.15700912475586
-5.645368576049805, -23.74639892578125
-7.978105545043945, -36.946048736572266
-19.384960174560547, -32.40738296508789
-14.857412338256836, -35.34293746948242
-9.500913619995117, -28.87497329711914
-11.766203880310059, -26.64755630493164
-14.254094123840332, -30.14897918701172
-16.379335403442383, -34.986202239990234
-17.649002075195312, -29.28230094909668
-9.362327575683594, -35.664344787597656
-6.7652130126953125, -27.77025604248047
-7.047669410705566, -28.736488342285156
-28.940004348754883, -41.81416702270508
-13.708135604858398, -34.583702087402344
-4.316190242767334, -17.9980525970459
-8.663891792297363, -23.79364776611328
-16.71385955810547, -28.279935836791992
-11.832586288452148, -29.62914276123047
-11.705461502075195, -34.04517364501953
-13.39603042602539, -32.55860137939453
-7.699049949645996, -28.76765251159668
-14.702399253845215, -35.71022415161133
-9.349523544311523, -28.325729370117188
-5.947254180908203, -23.969263076782227
-17.96332550048828, -31.4840145111084
-10.94552230834961, -29.78199577331543
-7.996268272399902, -21.796184539794922
-13.998331069946289, -30.07663917541504
-11.196649551391602, -34.175926208496094
-14.384698867797852, -30.41619300842285
-0.2629149854183197, -3.953001022338867
-7.018285751342773, -27.442977905273438
-10.547992706298828, -10.384332656860352
-10.58533763885498, -27.03908348083496
-12.949333190917969, -30.762027740478516
-12.449190139770508, -34.29412078857422
-8.687101364135742, -24.64290428161621
-7.507094383239746, -27.798295974731445
-6.20405387878418, -10.755924224853516
-20.412567138671875, -35.02309036254883
-16.009782791137695, -24.394559860229492
-6.673375129699707, -28.043983459472656
-13.47968864440918, -30.51137924194336
-11.90195083618164, -21.995742797851562
-11.449981689453125, -27.381088256835938
-26.31053924560547, -36.9757194519043
-19.43773651123047, -40.46969223022461
-9.495524406433105, -36.04280090332031
-12.11119556427002, -28.61459732055664
-11.146181106567383, -27.615203857421875
-7.680000305175781, -24.249120712280273
-14.292353630065918, -42.772613525390625
-18.317996978759766, -37.01773452758789
-19.10043716430664, -37.98738098144531
-9.840356826782227, -27.719757080078125
-12.071703910827637, -24.768796920776367
