no_constraint, constraint, which
-16.81909942626953, -9.651942253112793, unconstrained
-17.691600799560547, -8.51700210571289, unconstrained
-11.000683784484863, -6.566610336303711, unconstrained
-10.556139945983887, -4.024852275848389, unconstrained
-7.003176689147949, -0.7460982203483582, unconstrained
-9.176149368286133, -3.933650493621826, unconstrained
-15.108080863952637, -10.083819389343262, unconstrained
-7.0017409324646, -0.7506991624832153, unconstrained
-16.626373291015625, -8.259183883666992, unconstrained
-12.174529075622559, -6.872445583343506, unconstrained
-7.006575584411621, -0.7475551962852478, unconstrained
-7.007637023925781, -0.7505128383636475, unconstrained
-12.567008018493652, -8.332442283630371, unconstrained
-10.186578750610352, -4.648380279541016, unconstrained
-7.005046367645264, -0.7496343851089478, unconstrained
-7.005376815795898, -0.7507067322731018, unconstrained
-14.146875381469727, -9.328645706176758, unconstrained
-11.067316055297852, -6.490185737609863, unconstrained
-10.717493057250977, -4.882064342498779, unconstrained
-20.159427642822266, -15.839532852172852, unconstrained
-14.290552139282227, -7.821410179138184, unconstrained
-17.600234985351562, -7.787683486938477, unconstrained
-19.93639373779297, -10.554184913635254, unconstrained
-7.00277853012085, -0.7471191883087158, unconstrained
-13.09650993347168, -7.379047393798828, unconstrained
-20.01465606689453, -8.266393661499023, unconstrained
-7.003371715545654, -0.7459696531295776, unconstrained
-14.476763725280762, -6.189276218414307, unconstrained
-11.757916450500488, -6.432365894317627, unconstrained
-11.600433349609375, -6.2031569480896, unconstrained
-7.005424976348877, -0.7491236925125122, unconstrained
-7.0053534507751465, -0.7477000951766968, unconstrained
-18.954875946044922, -11.237873077392578, unconstrained
-7.003870964050293, -0.75089031457901, unconstrained
-12.15283203125, -6.149668216705322, unconstrained
-11.082883834838867, -6.802098751068115, unconstrained
-14.63730239868164, -7.2416582107543945, unconstrained
-15.105350494384766, -8.764195442199707, unconstrained
-7.005217552185059, -0.7480547428131104, unconstrained
-7.003979206085205, -0.7473563551902771, unconstrained
-7.00295352935791, -0.7516324520111084, unconstrained
-7.004495143890381, -0.7477525472640991, unconstrained
-14.546889305114746, -8.513026237487793, unconstrained
-18.566328048706055, -9.6190185546875, unconstrained
-7.004814147949219, -0.7473885416984558, unconstrained
-11.823184967041016, -5.225512981414795, unconstrained
-18.09136199951172, -11.080269813537598, unconstrained
-16.62540054321289, -8.418837547302246, unconstrained
-19.1611385345459, -9.371367454528809, unconstrained
-24.54665756225586, -12.496572494506836, unconstrained
-15.926884651184082, -8.147418022155762, unconstrained
-17.05868911743164, -10.987540245056152, unconstrained
-29.811504364013672, -11.346744537353516, unconstrained
-7.001884460449219, -0.7501378059387207, unconstrained
-7.00425910949707, -0.7453915476799011, unconstrained
-12.129631042480469, -5.554244041442871, unconstrained
-21.909732818603516, -16.866117477416992, unconstrained
-19.88782501220703, -12.297196388244629, unconstrained
-12.287364959716797, -5.6201887130737305, unconstrained
-7.004682540893555, -0.75432288646698, unconstrained
-7.0070295333862305, -0.7476803064346313, unconstrained
-15.746162414550781, -9.920520782470703, unconstrained
-7.005400657653809, -0.746734619140625, unconstrained
-19.29761505126953, -8.452442169189453, unconstrained
-10.83643913269043, -5.632161617279053, unconstrained
-9.16867733001709, -3.9320597648620605, unconstrained
-7.002664566040039, -0.7487387657165527, unconstrained
-20.38574981689453, -10.804810523986816, unconstrained
-7.002701759338379, -0.7501808404922485, unconstrained
-13.494224548339844, -6.752829074859619, unconstrained
-17.676794052124023, -8.63162899017334, unconstrained
-11.710722923278809, -4.660348415374756, unconstrained
-7.006862640380859, -0.7468903064727783, unconstrained
-7.005451679229736, -0.7492803931236267, unconstrained
-7.00164270401001, -0.7476145029067993, unconstrained
-12.333080291748047, -6.998064041137695, unconstrained
-7.001574993133545, -0.7500849962234497, unconstrained
-7.004241466522217, -0.7513505220413208, unconstrained
-15.623472213745117, -8.733616828918457, unconstrained
-13.672590255737305, -8.290708541870117, unconstrained
-7.004228591918945, -0.7526888847351074, unconstrained
-7.004970550537109, -0.747356653213501, unconstrained
-15.045341491699219, -8.690512657165527, unconstrained
-7.0059895515441895, -0.7454959154129028, unconstrained
-12.139156341552734, -6.557717323303223, unconstrained
-16.744232177734375, -9.68664264678955, unconstrained
-18.611820220947266, -13.14382553100586, unconstrained
-7.002317428588867, -0.7499791383743286, unconstrained
-10.63174057006836, -5.70222806930542, unconstrained
-7.002478122711182, -0.7436796426773071, unconstrained
-7.001824378967285, -0.7467228770256042, unconstrained
-17.546897888183594, -12.376876831054688, unconstrained
